Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
56,0,319.453164,116.8665296,96.92885655,3.415559269,2871.540879,45.92324671,20.33367849,43.36725303,136.7194965,77.88009163,23.42968811,176.2763459,277.4581045,53.18937142,90.62174085,34.91631439,1144.617871,14.48911044,90.28661759,1.536552325,11.35846972,26.69452035,174.2660379,87.03909251,1.720324415,1688.163271,2904.188491,1.01136937,742.2809979
57,0,318.0643418,116.3927966,96.42460408,3.394316441,2880.108832,45.65137301,20.19938256,43.29188301,136.6957813,77.73917408,23.3381818,177.4639021,278.7443834,53.51767233,90.41637452,35.22240212,1142.870486,14.4152452,90.06801552,1.531154945,11.30306131,26.44785596,174.10202,86.95206119,1.71923047,1681.348716,2890.625944,1.003651637,736.8407436
58,0,316.6430698,115.9098475,95.89190201,3.372093667,2887.678116,45.37610982,20.06630235,43.21198891,136.6582522,77.62325365,23.24058196,178.6553155,279.9092258,53.84735379,90.13212641,35.51517171,1140.770225,14.33768201,89.84976677,1.525220813,11.24500402,26.21775271,173.93513,86.85906596,1.718081394,1674.456631,2876.852783,0.996251198,731.1462283
59,0,315.1988462,115.4208173,95.33350302,3.349038996,2894.181075,45.09922236,19.93524395,43.1281074,136.6085375,77.53481028,23.13746098,179.8428396,280.9440569,54.17645308,89.77042772,35.79161302,1138.325076,14.25678982,89.63108521,1.518799555,11.18455312,26.00206818,173.7668208,86.76236283,1.716881101,1667.518635,2862.93123,0.989202526,725.2658177
60,0,313.7404456,114.9282078,94.75220054,3.325296869,2899.550448,44.82221201,19.80683136,43.04057975,136.5481866,77.47573362,23.0293873,181.0176839,281.8412136,54.502732,89.33373048,36.04931632,1135.54621,14.17293082,89.41072192,1.511940699,11.12195395,25.79772745,173.5983048,86.66347104,1.715633803,1660.557481,2848.908546,0.982534568,719.2628743
61,0,312.2752325,114.4337009,94.15065072,3.301001489,2903.722109,44.54623591,19.68147477,42.9494917,136.4783287,77.44706679,22.91688208,182.1699287,282.5936523,54.82363533,88.82536588,36.28640281,1132.445755,14.0864383,89.1869256,1.504690483,11.0574249,25.60075595,173.4304481,86.56295475,1.714343969,1653.584219,2834.812133,0.976268398,713.1938582
62,0,310.8085021,113.9379997,93.53120289,3.276270597,2906.638386,44.27203908,19.559346,42.85461943,136.3993291,77.44875999,22.80037742,183.2884391,283.1946255,55.13624751,88.24938307,36.50142545,1129.034519,13.99759526,88.9574135,1.497088828,10.99114121,25.40633038,173.2637077,86.46020489,1.713016296,1646.59562,2820.64513,0.970414876,707.1068616
63,0,309.3429245,113.4407166,92.89576152,3.251200447,2908.251842,43.99990818,19.44036482,42.75539015,136.3104768,77.47945518,22.6801814,184.3608122,283.6373961,55.43725745,87.61038981,36.69325398,1125.319945,13.9066169,88.71936646,1.48916687,10.92322226,25.20885471,173.0981153,86.35325747,1.71165568,1639.572263,2806.383177,0.964972543,701.0406353
64,0,307.8781939,112.9403445,92.24570897,3.225862951,2908.529341,43.72965889,19.32420128,42.65086983,136.2097558,77.53633013,22.5564576,185.3734088,283.9150861,55.72294747,86.91342412,36.86096227,1121.304686,13.81364147,88.46947036,1.48094552,10.85372547,25.00207101,172.933313,86.23869692,1.710267196,1632.477788,2791.973209,0.959926094,695.0241314
65,0,306.4109698,112.4343348,91.58191326,3.200305831,2907.456181,43.46066696,19.21029816,42.53978875,136.0937433,77.61502816,22.42922488,186.3115216,284.0207428,55.98922267,86.16388159,37.00373549,1116.986138,13.7187329,88.20402294,1.472435469,10.78264984,24.77921378,172.7686334,86.1116937,1.708856072,1625.259779,2777.335042,0.955245709,689.0765569
66,0,304.9351709,111.9193014,90.9048354,3.17455627,2905.040003,43.19194871,19.09791594,42.4206126,135.9576704,77.70969542,22.29838169,187.1597217,283.9476861,56.23169383,85.36751442,37.12081213,1112.357179,13.62189758,87.91911943,1.463638886,10.70995064,24.53321401,172.6032162,85.96621188,1.707427678,1617.852558,2762.366236,0.950887504,683.2078948
67,0,303.4426294,111.3913475,90.21473399,3.148627997,2901.314196,42.92228926,18.98619928,42.29165914,135.7956563,77.81313564,22.16375465,187.9023952,283.6901407,56.44581902,84.53050159,37.21146877,1107.408125,13.523115,87.61091545,1.454552775,10.63556516,24.25695295,172.4361459,85.79539765,1.705987499,1610.181934,2746.950251,0.946795165,677.4198284
68,0,301.9240524,110.8464903,89.51194575,3.122531084,2896.340485,42.65040834,18.87426016,42.15125224,135.6011009,77.91707753,22.02516683,188.5244462,283.2441017,56.62709784,83.65957208,37.27504777,1102.129732,13.42237935,87.27594904,1.445173662,10.55944697,23.94355863,172.2665934,85.5921277,1.704541122,1602.171564,2730.967315,0.942902718,671.7069802
69,0,300.3701751,110.2811379,88.79720252,3.096283123,2890.210424,42.37514496,18.76126936,41.99789629,135.3671894,78.01253345,21.88251662,189.0120988,282.6083117,56.77130027,82.76214615,37.31101858,1096.516796,13.31974628,86.91148628,1.43550298,10.48160422,23.5867294,172.0939413,85.34966366,1.703094207,1593.750273,2714.306858,0.939138146,666.058366
70,0,298.7729499,109.6925543,88.0719342,3.069920081,2883.045554,42.09563686,18.64654485,41.83044782,135.0874433,78.09021409,21.73585495,189.3537015,281.7851883,56.87470235,81.84645072,37.31905692,1090.571777,13.21537757,86.51584338,1.425552323,10.40213597,23.18106218,171.9178763,85.06233282,1.701652466,1584.859432,2696.879961,0.935427453,660.4589605
71,0,297.1265882,109.0792436,87.33850199,3.043504933,2874.99606,41.81146799,18.52962522,41.64825788,134.7562359,78.1409537,21.58544765,189.5404137,280.781515,56.93429464,80.92156212,37.29912111,1084.307768,13.10957553,86.08863216,1.415347649,10.32126014,22.72235857,171.7384326,84.72614126,1.700221624,1575.459355,2678.630063,0.93169869,654.8912714
72,0,295.4282923,108.4411912,86.60031439,3.017132471,2866.237842,41.52276034,18.41031688,41.45126141,134.3691947,78.15609889,21.43181085,189.5666641,279.6087317,56.94793065,79.99733866,37.25150548,1077.750209,13.00280015,85.63088269,1.404931638,10.23932731,22.20788157,171.5559806,84.33922793,1.698807383,1565.533766,2659.540319,0.927885425,649.336833
73,0,293.6785507,107.7799159,85.86179293,2.99092914,2856.968034,41.23019346,18.28870742,41.23999568,133.9234292,78.12781899,21.27571116,189.4302896,278.282704,56.91438882,79.08422101,37.17685428,1070.936926,12.89566413,85.14500995,1.39436364,10.15681673,21.63653947,171.371159,83.90208815,1.697415372,1555.091604,2639.636394,0.923929271,643.7775402
74,0,291.8809468,107.098317,85.12817934,2.965047591,2847.399101,40.93494584,18.16514217,41.01554158,133.4175509,78.04931131,21.11812803,189.1323191,276.8229375,56.83333592,78.192901,37.07612789,1063.916311,12.78890465,84.63461615,1.38371703,10.07431321,21.00898187,171.1847624,83.41752851,1.6960511,1544.165875,2618.98423,0.919781224,638.1967699
75,0,290.0415105,106.4003342,84.40520155,2.939656514,2837.751759,40.63856523,18.04016704,40.77939351,132.8514932,77.91489356,20.96018168,188.6764196,275.2512918,56.70519585,77.3338825,36.95052283,1056.743836,12.68333432,84.1041455,1.373074228,9.992467237,20.32760263,170.9976011,82.89035875,1.694719892,1532.809691,2597.683074,0.915401802,632.5802504
76,0,288.1677314,105.6904694,83.69864134,2.914927146,2828.247057,40.34278727,17.91444636,40.53327684,132.2261727,77.71999834,20.80303692,188.0680877,273.5903404,56.53094628,76.51697872,36.80135747,1049.477356,12.57977777,83.55843512,1.362520062,9.911943256,19.59645562,170.8103595,82.32686904,1.693426832,1521.090169,2575.854905,0.910760218,626.9166669
77,0,286.2674078,104.9732453,83.01386401,2.891018464,2819.098035,40.04933053,17.78866869,40.27894121,131.5430692,77.46110299,20.64779672,187.3137138,271.8615878,56.31187843,75.75080317,36.62994307,1042.171908,12.47900274,83.00222365,1.352134426,9.833363367,18.82109733,170.6234779,81.73417732,1.69217669,1509.081168,2553.631976,0.905832981,621.1980065
78,0,284.3475503,104.2526881,82.35537964,2.868063382,2810.501421,39.75970154,17.66345594,40.01796304,130.8038142,77.13564069,20.49540258,186.4196788,270.0837944,56.04936455,75.04231666,36.43746468,1034.874845,12.38165593,82.43968975,1.341985379,9.757254705,18.00837537,170.4370838,81.11955201,1.690973864,1496.856098,2531.144541,0.900602477,615.4196659
